# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.12693474694029622,0,3.0,0.3441169791664276,0.0,0.0,0.0
 0.09007977589369348,1.012171519167846,3.0000269651839324,0.12693474694029622,0.2702393276810805,3.0000000000000004,0.3441169791664276,0.0,6.369930302102564,0.0
 0.12828166073689157,1.0246839855572891,3.0001078290225336,0.37027809080041635,0.38484498221067476,3.0,0.31702515218878446,0.0,7.702527992037509,0.0
 0.15818819968540845,1.037534262497188,3.0002425439460065,0.6006340441963277,0.4745645990562254,2.999999999999999,0.2929632031903037,0.0,8.503375658696994,0.0
 0.18388684609166,1.0507192133164,3.000431062384557,0.8191592885087081,0.5516605382749801,3.000000000000001,0.2715159601945627,0.0,9.008018494764103,0.0
 0.20694639790347313,1.0642357013437838,3.0006733367683878,1.0268801577104918,0.6208391937104194,2.999999999999998,0.2523349373411547,0.0,9.32384314158283,0.0
 0.22816407757357482,1.0780805899081969,3.0009693195277043,1.224710474782871,0.6844922327207245,3.0,0.23512616159428965,0.0,9.51153018070271,0.0
 0.24800905209673332,1.0922507423384982,3.00131896309271,1.4134665488951694,0.7440271562902,3.0000000000000013,0.21964047244960874,0.0,9.609212147599562,0.0
 0.26678408730593006,1.106743021963545,3.00172221989361,1.5938798452989922,0.8003522619177902,2.9999999999999987,0.20566574407410726,0.0,9.642417172543794,0.0
 0.28469742675042553,1.1215542921121957,3.0021790423606083,1.7666077371762015,0.8540922802512766,3.0,0.19302061214581295,0.0,9.628959442013908,0.0
 0.30189917453342563,1.1366814161133085,3.0026893829239087,1.932242668910462,0.9056975236002769,3.0,0.18154938618030853,0.0,9.581634672935154,0.0
 0.3185014907046426,1.1521212572957413,3.003253194013716,2.0913199971876266,0.9555044721139279,3.0,0.17111790104728908,0.0,9.509828073548665,0.0
 0.33459060696433496,1.1678706789883524,3.0038704280602344,2.2443247266726374,1.0037718208930049,3.0,0.16161011760459998,0.0,9.420530620129721,0.0
 0.3502343744693963,1.1839265445199996,3.0045410374936683,2.391697317468258,1.050703123408189,3.0,0.15292532345490684,0.0,9.319010102237307,0.0
 0.3654872168646594,1.2002857172195411,3.0052649747442217,2.533838709837548,1.0964616505939782,2.9999999999999964,0.14497581717049884,0.0,9.209269576612689,0.0
 0.3803934996435851,1.2169450604158352,3.0060421922420986,2.6711146863338944,1.1411804989307552,3.0,0.1376849842617266,0.0,9.09436919418895,0.0
 0.39498989238680493,1.23390143743774,3.006872642417504,2.803859670844116,1.1849696771604148,3.000000000000004,0.13098569220772455,0.0,8.976657149347414,0.0
 0.40930706796856703,1.2511517116141129,3.0077562777006426,2.932380047388603,1.2279212039057013,3.0000000000000115,0.1248189452198082,0.0,8.85793845319144,0.0
 0.42337095215718246,1.268692746273813,3.008693050521717,3.0569570679441704,1.2701128564715476,3.000000000000004,0.11913275379301806,0.0,8.739600154130763,0.0
 0.4372036604373653,1.2865214047456974,3.009682913310933,3.1778494073617023,1.3116109813120962,3.000000000000004,0.11388117985938821,0.0,8.62270544094631,0.0
 0.450824212326006,1.3046345503586247,3.010725818498494,3.295295414240576,1.3524726369780184,3.0000000000000124,0.1090235283804053,0.0,8.508065145568494,0.0
 0.46424908425210154,1.3230290464414531,3.011821718514605,3.4095150991587104,1.392747252756305,2.9999999999999916,0.10452366034365487,0.0,8.39629258004756,0.0
 0.4774926432436002,1.3417017563230405,3.0129705657894696,3.520711895252453,1.4324779297308008,2.9999999999999916,0.10034940665653287,0.0,8.287845937262263,0.0
 0.49056749122350607,1.360649543332245,3.014172312753293,3.6290742209630373,1.4717024736705184,3.0,0.09647206689387725,0.0,8.183061306999177,0.0
 0.5034847413163719,1.379869270797925,3.0154269118362786,3.734776870390799,1.5104542239491159,3.0,0.09286597955093483,0.0,8.0821785426607,0.0
 0.5162542417805777,1.3993578020489377,3.016734315468631,3.837982253043099,1.548762725341733,2.999999999999991,0.08950815181805288,0.0,7.985361632331746,0.0
 0.5288847591261627,1.4191120004141422,3.0180944760805546,3.9388415016510345,1.5866542773784884,3.000000000000009,0.08637794039266743,0.0,7.892714815528633,0.0
 0.5413841290890647,1.439128729222396,3.0195073461022535,4.037495464142005,1.6241523872671946,3.000000000000009,0.08345677543654845,0.0,7.804295387315408,0.0
 0.5537593820444559,1.4594048518025573,3.0209728779639318,4.134075593698625,1.6612781461333679,3.0,0.08072792059693067,0.0,7.720123898373032,0.0
 0.5660168479120845,1.4799372314834844,3.0224910240957947,4.228704748876797,1.6980505437362536,2.999999999999982,0.07817626492601575,0.0,7.6401923068413184,0.0
 0.578162244471959,1.500722731594035,3.0240617369280454,4.321497914237087,1.7344867334158771,3.0000000000000093,0.0757881412947905,0.0,7.564470508572239,0.0
 0.5902007521575998,1.5217582154630676,3.0256849688908884,4.412562850592337,1.7706022564727997,3.0,0.07355116744609907,0.0,7.492911570293757,0.0
 0.6021370777488769,1.54304054641944,3.027360672414529,4.502000682722011,1.8064112332466309,2.9999999999999907,0.07145410700515457,0.0,7.42545593425244,0.0
 0.613975508892532,1.5645665877920105,3.0290887999291702,4.589906431509903,1.8419265266775962,2.9999999999999907,0.06948674764650686,0.0,7.362034797458555,0.0
 0.6257199609969315,1.5863332029096369,3.030869303865017,4.676369496579578,1.8771598829907943,2.999999999999981,0.06763979367944374,0.0,7.3025728191805275,0.0
