# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.14447810338361258,0,1.0,0.39689523574067836,0.0,0.0,0.0
 0.15580209270634687,1.012137107458471,3.000030605220799,0.14447810338361258,0.15580209270634685,0.9999999999999998,0.39689523574067836,0.0,4.243667754181129,0.0
 0.22157204011697829,1.0245467067594616,3.0001223502391237,0.42358390840429777,0.22157204011697826,1.0,0.37111878584327235,0.0,5.200673869545754,0.0
 0.27286447704452127,1.0372262132913386,3.000275129088864,0.6903391448386943,0.2728644770445212,0.9999999999999994,0.3477540016312451,0.0,5.813502487638657,0.0
 0.31678416696971523,1.050173042442469,3.0004888358039112,0.9456663714751279,0.3167841669697152,1.0,0.3265242002519811,0.0,6.230667921354214,0.0
 0.35606326219940676,1.0633846096012192,3.0007633644181575,1.1904013701025842,0.3560632621994067,1.0,0.3071899993672851,0.0,6.519683211108456,0.0
 0.3920928816602239,1.0768583301559562,3.001098608965492,1.4253030752039,0.3920928816602239,1.0000000000000016,0.2895435935604101,0.0,6.718930623538999,0.0
 0.42569333380551394,1.0905916194950471,3.001494463479807,1.651062182087646,0.42569333380551394,1.0,0.2734040089245472,0.0,6.852826485518582,0.0
 0.4573950631454222,1.1045818930068578,3.001950821994993,1.868308632544911,0.4573950631454222,1.0,0.25861315341126745,0.0,6.937991110418742,0.0
 0.48756366788512195,1.118826566079756,3.0024675785449397,2.0776181440426846,0.4875636678851219,0.9999999999999981,0.24503251557352204,0.0,6.986257468518403,0.0
 0.5164632293281234,1.1333230541021082,3.00304462716354,2.27951792101076,0.5164632293281234,1.000000000000002,0.2325403955805429,0.0,7.006320878753082,0.0
 0.5442914928208133,1.148068772462281,3.003681861884684,2.474491664539036,0.5442914928208133,1.0,0.22102957357514674,0.0,7.004721324707817,0.0
 0.5712008165720501,1.1630611365486412,3.004379176742262,2.6629839784527904,0.5712008165720502,1.0000000000000042,0.21040533995217686,0.0,6.986465163520791,0.0
 0.5973113419529217,1.1782975617495557,3.005136465770166,2.845404254427475,0.5973113419529218,1.0,0.20058382514665835,0.0,6.955437413438076,0.0
 0.622719643582176,1.193775463453391,3.005953623002286,3.02213010619151,0.6227196435821761,1.0,0.1914905795897439,0.0,6.9146853826942,0.0
 0.6475046188634003,1.2094922570485143,3.0068305424725135,3.1935104124790286,0.6475046188634004,1.0,0.18305936152957178,0.0,6.866619610114238,0.0
 0.6717316208542915,1.2254453579232918,3.007767118214739,3.359868019443959,0.6717316208542916,1.0,0.1752311002170008,0.0,6.81315968541368,0.0
 0.6954554338909021,1.2416321814660911,3.008763244262854,3.5215021460092863,0.6954554338909023,1.0,0.16795300583271117,0.0,6.7558421929101735,0.0
 0.7187224639535313,1.2580501430652782,3.0098188146507496,3.678690529410106,0.7187224639535315,1.0,0.16117780328053738,0.0,6.695901957871681,0.0
 0.7415723823779427,1.2746966581092205,3.0109337234123155,3.83169134292533,0.7415723823779428,1.0,0.15486307107068806,0.0,6.6343340724970625,0.0
 0.7640393804116657,1.2915691419862843,3.012107864581443,3.9807449134871837,0.7640393804116659,1.0,0.14897066938881554,0.0,6.571941818965302,0.0
 0.7861531412242375,1.3086650100848363,3.013341132192024,4.12607526294592,0.7861531412242376,1.0,0.14346624365266467,0.0,6.5093740915131075,0.0
 0.8079396031529196,1.3259816777932438,3.0146334202779492,4.26789149377022,0.8079396031529197,1.0,0.13831879295492608,0.0,6.44715488078509,0.0
 0.8294215662656886,1.3435165604998733,3.0159846228731086,4.406389037101554,0.8294215662656887,1.0,0.1335002939587191,0.0,6.385706693092495,0.0
 0.8506191796626345,1.3612670735930914,3.017394634011394,4.5417507788480185,0.8506191796626346,1.0,0.1289853720771764,0.0,6.325369279712232,0.0
 0.871550336835878,1.3792306324612653,3.0188633477266955,4.674148077420481,0.8715503368358781,1.0,0.12475101378493991,0.0,6.266414713651796,0.0
 0.8922309993243854,1.3974046524927612,3.0203906580529045,4.803741685126531,0.8922309993243855,1.0,0.1207763138424575,0.0,6.209059588078846,0.0
 0.9126754638518332,1.4157865490759465,3.021976459023912,4.930682583623818,0.9126754638518333,1.0,0.11704225350892689,0.0,6.153474938539348,0.0
 0.932896584484954,1.4343737375991876,3.0236206446736094,5.055112742668908,0.9328965844849542,1.0,0.11353150453659944,0.0,6.099794347182309,0.0
 0.9529059586740704,1.4531636334508513,3.0253231090358867,5.177165810238336,0.9529059586740705,1.0,0.11022825651391555,0.0,6.048120588333774,0.0
 0.9727140840520305,1.4721536520193044,3.027083746144635,5.296967741153074,0.9727140840520306,1.0,0.10711806401021319,0.0,5.998531097366617,0.0
 0.9923304913776227,1.4913412086929139,3.028902450033746,5.4146373705142485,0.9923304913776229,1.0,0.10418771117656501,0.0,5.951082484680397,0.0
 1.0117638578793169,1.510723718860046,3.0307791147371095,5.530286937520855,1.011763857879317,1.0000000000000058,0.10142509143831838,0.0,5.905814272640957,0.0
 1.0310221043895424,1.5302985979090684,3.0327136342886174,5.644022564626982,1.0310221043895427,1.0,0.09881910042763119,0.0,5.862751995485693,0.0
 1.0501124789906278,1.550063261228347,3.03470590272216,5.755944696414065,1.050112478990628,1.0,0.09635954104242445,0.0,5.821909777900945,0.0
 1.0690416293720184,1.5700151242062488,3.036755814071628,5.8661485021068405,1.0690416293720186,1.0,0.09403703798390443,0.0,5.783292481747151,0.0
